# LLMCosts.dev — Open Source Models Pricing
> Source: LLMCosts.dev — https://llmcosts.dev
> Updated: 2026-04-09
> Route cheaper via OpenRouter: https://openrouter.ai/?ref=llmcosts
(Part 1)

| Model | Provider | Input/1M | Output/1M | Cached/1M | Context | ELO | Tier | Type |
|-------|----------|----------|---------|---------|---------|-----|------|------|
| [Llama 3.1 70B Instruct](https://llmcosts.dev/models/llama-3-1-70b-instruct) | Meta | $0.52 | $0.75 | $None | 131,072 | 1200 | standard | Open |
| [Llama 3.1 8B Instruct](https://llmcosts.dev/models/llama-3-1-8b-instruct) | Meta | $0.07 | $0.07 | $None | 131,072 | 1147 | budget | Open |
| [Mixtral 8x7B Instruct](https://llmcosts.dev/models/mixtral-8x7b-instruct) | Mistral AI | $0.24 | $0.24 | $None | 32,768 | 1114 | budget | Open |
| [Llama 3.2 11B Vision Instruct](https://llmcosts.dev/models/llama-3-2-11b-vision-instruct) | Meta | $0.055 | $0.055 | $None | 131,072 | 1270 | budget | Open |
| [Llama 3.3 70B Instruct](https://llmcosts.dev/models/llama-3-3-70b-instruct) | Meta | $0.59 | $0.79 | $None | 131,072 | 1248 | standard | Open |
| [Llama 3.2 3B Instruct](https://llmcosts.dev/models/llama-3-2-3b-instruct) | Meta | $0.06 | $0.06 | $None | 131,072 | 1270 | budget | Open |
| [DeepSeek R1](https://llmcosts.dev/models/deepseek-r1) | DeepSeek | $0.55 | $2.19 | $None | 64,000 | 1358 | standard | Open |
| [Mistral Nemo](https://llmcosts.dev/models/mistral-nemo) | Mistral AI | $0.15 | $0.15 | $None | 128,000 | 1090 | budget | Open |
| [Phi-4](https://llmcosts.dev/models/phi-4) | Microsoft | $0.07 | $0.14 | $None | 16,384 | 1200 | budget | Open |
| [Qwen 2.5 72B Instruct](https://llmcosts.dev/models/qwen-2-5-72b-instruct) | Alibaba (Qwen) | $0.35 | $0.4 | $None | 131,072 | 1238 | standard | Open |
| [Gemma 2 27B IT](https://llmcosts.dev/models/gemma-2-27b-it) | Google | $0.27 | $0.27 | $None | 8,192 | 1153 | budget | Open |
| [Llama 4 Maverick](https://llmcosts.dev/models/llama-4-maverick) | Meta | $0.27 | $0.85 | $None | 1,048,576 | 1300 | standard | Open |
| [Llama 4 Scout](https://llmcosts.dev/models/llama-4-scout) | Meta | $0.11 | $0.34 | $None | 10,485,760 | 1235 | budget | Open |
| [Llama 3.2 1B Instruct](https://llmcosts.dev/models/llama-3-2-1b-instruct) | Meta | $0.01 | $0.01 | $None | 131,072 | 1270 | budget | Open |
| [Qwen2.5 Coder 32B Instruct](https://llmcosts.dev/models/qwen-2-5-coder-32b-instruct) | Alibaba Cloud | $0.07 | $0.21 | $None | 131,072 | 1248 | budget | Open |
| [Llama 3.1 Nemotron 70B Instruct](https://llmcosts.dev/models/llama-3-1-nemotron-70b-instruct) | NVIDIA | $0.35 | $0.4 | $None | 131,072 | 1260 | standard | Open |
| [Gemma 3 27B IT](https://llmcosts.dev/models/gemma-3-27b-it) | Google | $0.1 | $0.2 | $None | 131,072 | 1190 | budget | Open |
| [QwQ 32B](https://llmcosts.dev/models/qwq-32b) | Alibaba Cloud | $0.12 | $0.18 | $None | 131,072 | 1253 | budget | Open |
| [Qwen2.5 7B Instruct](https://llmcosts.dev/models/qwen-2-5-7b-instruct) | Alibaba Cloud | $0.1 | $0.2 | $None | 131,072 | 1200 | budget | Open |
| [Gemma 2 9B Instruct](https://llmcosts.dev/models/gemma-2-9b-it) | Google DeepMind | $0.1 | $0.1 | $None | 8,192 | 1190 | budget | Open |
| [Gemma 3 4B Instruct](https://llmcosts.dev/models/gemma-3-4b-it) | Google DeepMind | $0.03 | $0.03 | $None | 131,072 | 1200 | budget | Open |
| [Llama Guard 3 8B](https://llmcosts.dev/models/llama-guard-3-8b) | Meta | $0.2 | $0.2 | $None | 8,192 | 1200 | budget | Open |
| [Qwen 2.5 Coder 32B](https://llmcosts.dev/models/qwen-2.5-coder-32b-instruct) | Alibaba Cloud | $0.8 | $1.5 | $None | 32,768 | 1210 | mid | Open |
| [Llama 4 Scout](https://llmcosts.dev/models/llama-4-scout) | Meta | $0.08 | $0.3 | $0.04 | 10,000,000 | 1240 | budget | Open |
| [Llama 4 Maverick](https://llmcosts.dev/models/llama-4-maverick) | Meta | $0.2 | $0.8 | $0.1 | 1,000,000 | 1285 | standard | Open |
| [Llama 3.3 70B Instruct](https://llmcosts.dev/models/llama-33-70b-instruct) | Meta | $0.12 | $0.4 | $0.06 | 128,000 | 1270 | standard | Open |
| [DeepSeek R2](https://llmcosts.dev/models/deepseek-r2) | DeepSeek | $0.55 | $2.19 | $0.055 | 163,000 | 1360 | mid | Open |
| [Llama 3.1 405B Instruct](https://llmcosts.dev/models/llama-31-405b) | Meta | $3.0 | $3.0 | $1.5 | 128,000 | None | premium | Open |
| [Mistral NeMo 2025](https://llmcosts.dev/models/mistral-nemo-2025) | Mistral AI | $0.05 | $0.2 | $0.025 | 128,000 | None | budget | Open |
